ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
AKT1-HSPB1-MAPK14-MAPKAPK2 complex,3315;207;9261;1432,GO:0007165,signal transduction,30,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM,"AKT1 is associated with MAPK14, MAPKAPK2, and HSPB1 in neutrophils. HSPB1 dissociates from the complex upon activation.",HSPB1;AKT1;MAPKAPK2;MAPK14
AKT1-MAPK14-MAPKAPK2 complex,207;9261;1432,GO:0007165,signal transduction,30,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM,"AKT1 is associated with MAPK14, MAPKAPK2, and HSPB1 in neutrophils. HSPB1 dissociates from the complex upon activation.",AKT1;MAPKAPK2;MAPK14
MCRS1-NDE1 complex,10445;54820,GO:0005813;GO:0000278,centrosome;mitotic cell cycle,70.05;10.03.01.01,centrosome;mitotic cell cycle,Results indicate that MCRS1 (p78) is essential for cell viability and it plays a critical role in mitosis and in particular the transition from the prometaphase to the metaphase segment of the mitotic process.,MCRS1;NDE1
Mdm2-Rassf1-Tp53 complex,22059;17246;56289,GO:0006974,cellular response to DNA damage stimulus,32.01.09,DNA damage response,,Tp53;Mdm2;Rassf1
MDM2-MDM4-TP53 complex,4194;7157;4193,GO:0031647,regulation of protein stability,,,"Results indicate that, in unstressed cells,RYBP probably regulates the stability of p53 by forming a MDM2-MDM4-TP53 complex that prevents the association between MDM2 and p53, thereby inhibiting the E3 ligase of MDM2 from ubiquitinating p53.",MDM4;TP53;MDM2
MDM2-TP53-WWOX complex,7157;4193;51741,GO:0005634;GO:0009411,nucleus;response to UV,70.10,nucleus,"UV light increases nuclear localization of WWOX, MDM2, and TP53(p53), along with their complex formation.",TP53;MDM2;WWOX
Akt1-Ppp2ca complex,11651;19052,,,,,,Akt1;Ppp2ca
RNF8-ATX3-p97 complex,9025;4287;7415;55666;7353,GO:0010212;GO:0006281;GO:0005634,response to ionizing radiation;DNA repair;nucleus,10.01.05.01;70.10,DNA repair;nucleus,"The RNF8-ATX3-p97 complex regulates proteasome-dependent homeostasis of RNF8 under physiological conditions. Under genotoxic stress, when RNF8 is rapidly recruited to sites of DNA lesions, the p97\u2013ATX3 machinery stimulates the extraction of RNF8 from chromatin to balance DNA repair pathway choice and promote cell survival after ionising radiation.",RNF8;ATXN3;VCP;NPLOC4;UFD1
STX1A-STXBP1 complex,6812;6804,GO:0016082,synaptic vesicle priming,,,,STXBP1;STX1A
AXL-DOCK1-ELMO2-MET complex,4233;558;1793;63916,GO:0005886;GO:0007010;GO:0004713,plasma membrane;cytoskeleton organization;protein tyrosine kinase activity,70.02;42.04,eukaryotic plasma membrane / membrane attached;cytoskeleton/structural proteins,"The AXL-DOCK1-ELMO2-MET complex can be detected on the plasma membrane by immunostaining or by immune co-precipitation. The protein complex promotes the activation RAC1, thereby controlling the dynamic receptor clustering and actin cytoskeleton reorganization.",MET;AXL;DOCK1;ELMO2
Micall2-Rab8a complex,17274;231830,GO:0005911;GO:0007043,cell-cell junction;cell-cell junction assembly,70.06.04;42.06.04,intercellular junction (gap junction/adherens junction);intercellular junction (gap junction/adherens junction),The Micall2-Rab8a complex and the Micall2-Rab13 complex coordinate the assembly of adherens junctions and tight junctions.,Rab8a;Micall2
Micall2-Rab13 complex,231830;68328,GO:0005911;GO:0007043,cell-cell junction;cell-cell junction assembly,70.06.04;42.06.04,intercellular junction (gap junction/adherens junction);intercellular junction (gap junction/adherens junction),The Micall2-Rab13 complex and the Micall2-Rab8a complex coordinate the assembly of adherens junctions and tight junctions.,Micall2;Rab13
CCZ1-MON1A-MON1B-RMC1 complex,221960;22879;84315;29919,GO:0016236,macroautophagy,,,,CCZ1;MON1B;MON1A;RMC1
Fbxo45-MYCBP2-SKP1 complex,23077;6500;268882,GO:0010498,proteasomal protein catabolic process,,,Fbxo45-MYCBP2-SKP1 complex can bind and polyubiquitinate NMNAT2. Polyubiquitination of NMNAT2 by PAM (MYCBP2) results in NMNAT2 degradation by the proteasome and NMNAT2 turnover.,MYCBP2;SKP1;Fbxo45
Myo7a-Myrip-Rab27a complex,17921;245049;11891,GO:0032402;GO:0033162,melanosome transport;melanosome membrane,,,Retinal pigment epithelium mutant cells for any subunit of the tripartite complex exhibited more motile melanosomes.,Myo7a;Myrip;Rab27a
Hsp90b1-Hspa5-Mzb1 complex,22027;14828;69816,GO:0005783;GO:0006457,endoplasmic reticulum;protein folding,70.07;14.01,endoplasmic reticulum;protein folding and stabilization,Mzb1 (pERp1) is significantly up-regulated during plasma cell differentiation and contributes to the oxidative folding of immunoglobulin.,Hsp90b1;Hspa5;Mzb1
MMP9-NEU1-TLR7 complex,4318;4758;51284,GO:0006954;GO:0008063,inflammatory response;Toll signaling pathway,36.25.16.07,inflammatory response,"NEU1 sialidase and matrix metalloproteinase-9 cross-talk regulates nucleic acid-induced endosomal TOLL-like receptor-7 and -9 activation, cellular signaling and pro-inflammatory responses.",MMP9;NEU1;TLR7
ITGA5-Nisch-PAK1 complex,103238438;5058;64652,GO:0032587;GO:0030334,ruffle membrane;regulation of cell migration,,,"Nischarin inhibits the ability of PAK1 to phosphorylate substrates. The ability of Nischarin to inhibit PAK kinase activity closely parallels its inhibition of cell migration. PAK1 and Nischarin colocalize in membrane ruffles, structures known to be involved in cell motility.",ITGA5;PAK1;Nisch
BAG2-HSPA2-NLRP14 complex,9532;3306;338323,GO:0007283;GO:0010498,spermatogenesis;proteasomal protein catabolic process,,,"In male mice, Nlrp14 knockout strongly compromised differentiation of spermatogonial stem cells and meiosis. Mechanistically, NLRP14 protected HSPA2 from proteasome-mediated degradation by recruiting BAG2.",BAG2;HSPA2;NLRP14
RAB8A-SYTL4 complex,4218;94121,GO:0002576,platelet degranulation,,,,RAB8A;SYTL4
CDC5L-PRP19 complex,5356;10286;3312;56259;988;51503;27339,GO:0005634;GO:0000398,"nucleus;mRNA splicing, via spliceosome",70.10;11.04.03,"nucleus;mRNA processing (splicing, 5'-, 3'-end processing)",,PLRG1;BCAS2;HSPA8;CTNNBL1;CDC5L;CWC15;PRPF19
INSIG2-RNF139 complex,11236;51141,GO:0055088;GO:0017148;GO:0016567,lipid homeostasis;negative regulation of translation;protein ubiquitination,2005-07-14 00:00:00,"modification by ubiquitination, deubiquitination",,RNF139;INSIG2
TM4SF5-mTOR-SLC38A9 complex,9032;2475;153129,GO:0031929;GO:0005765,TOR signaling;lysosomal membrane,,,"Upon arginine depletion, TM4SF5 localizes mostly to the plasma membrane but upon arginine sufficiency, TM4SF5 translocated to LAMP-positive lysosomes to bind mTOR and SLC38A9. This indicates, that TM4SF5 functions as arginine sensor. TM4SF5 directly binds free L-arginine via its extracellular loop possibly for the efflux.(PMID:30956113)",TM4SF5;MTOR;SLC38A9
BIF1-UVRAG-Beclin1 complex,8678;7405;51100,GO:0006914;GO:0000045;GO:0042594,autophagy;autophagosome assembly;response to starvation,32.01.11,nutrient starvation response,Bif-1 forms a complex with Beclin1 through ultraviolet irradiation resistance-associated gene (UVRAG) to facilitate the activation of the PI3KC3 lipid kinase and autophagosome formation under starvation conditions (PMID: 17891140).,BECN1;UVRAG;SH3GLB1
OTUB1-RNF128-USP8 complex,9101;79589;55611,GO:0002667,regulation of T cell anergy,,,"Separate splice variants of the same gene, called otubain 1, serve as epistatic regulators to destabilize (otubain 1) or stabilize (otubain 1 ARF-1) autoubiquitinated GRAIL and thus control the outcome of T cell signaling and anergy induction.",USP8;RNF128;OTUB1
GIT1-MAT2B complex,27430;28964,GO:0007265;GO:0000165,Ras protein signal transduction;MAPK cascade,30.01.05.01.03,MAPKKK cascade,MAT2B-GIT1 is a scaffold complex that regulates multiple steps in the Ras-Raf-MEK-ERK signaling cascade.,MAT2B;GIT1
P3h3-P3h4-Plod1 complex,14789;66180;18822,GO:0005783;GO:0032964,endoplasmic reticulum;collagen biosynthetic process,70.07,endoplasmic reticulum,P3h3-P3h4-Plod1 complex is a prolyl-hydroxylase complex in the ER that affects lysyl-hydroxylation of collagen.,P3h3;P3h4;Plod1
Crtap-P3h1-Ppib complex,19035;56401;56693,GO:0032964;GO:0005783,collagen biosynthetic process;endoplasmic reticulum,70.07,endoplasmic reticulum,CRTAP can complex with mammalian P3H1 and is required for efficient 3-Hyp modification of fibrillar collagen.,Ppib;P3h1;Crtap
WDTC1-DDB1-CUL4-ROC1 E3 ligase complex,9978;8451;8450;1642;23038,GO:0060612;GO:0033522;GO:0010468,adipose tissue development;histone H2A ubiquitination;regulation of gene expression,,,,RBX1;CUL4A;CUL4B;DDB1;WDTC1
HSPA8-PA2G4-STUB1 complex,3312;10273;5036,GO:0010498,proteasomal protein catabolic process,,,P42 PA2G4 (Ebp1) regulates the proteasomal degradation of the p85 regulatory subunit of PI3K by recruiting a chaperone-E3 ligase complex HSP70/CHIP.,HSPA8;STUB1;PA2G4
BAX-BCL2L11-PACS2-TNFRSF10B-TNFSF10 complex,8795;10018;8743;581;23241,GO:0006915;GO:0005764,apoptotic process;lysosome,40.10.02;70.25,apoptosis (type I programmed cell death);vacuole or lysosome,"TRAIL induces formation of the BAX-BCL2L11-PACS2-TNFRSF10B-TNFSF10 complex. This complex is required for lysosomal membrane permeabilization, cathepsin B release, and cell death.",TNFRSF10B;BCL2L11;TNFSF10;BAX;PACS2
Cathepsin A-beta-galactosidase complex,5476;2720,GO:0005764;GO:0065003;GO:0015925,lysosome;protein-containing complex assembly;galactosidase activity,70.25,vacuole or lysosome,The GAL-CP complex may play a role in the lysosome being a matrix on which several lysosomal enzymes can associate.,CTSA;GLB1
Cathepsin A-beta-galactosidase-neuraminidase complex,5476;2720;4758,GO:0005764;GO:0015925,lysosome;galactosidase activity,70.25,vacuole or lysosome,"Cathepsin A (lysosomal protective protein, CTSA) stabilizes beta-galactosidase and activates neuraminidase by forming a high-molecular-weight lysosomal complex.",CTSA;GLB1;NEU1
CTBP1-EP300-FOXO3 complex,2309;2033;1487,GO:0006355;GO:0042981,"regulation of transcription, DNA-templated;regulation of apoptotic process",11.02.03.04,transcriptional control,The CTBP1-EP300-FOXO3 complex specifically binds to the promoters of Bax and Bim and negatively regulates their expression in osteosarcoma cells.,FOXO3;EP300;CTBP1
PACSIN1-PICK1 complex,29993;9463,GO:0048471;GO:0006897;GO:0060292,perinuclear region of cytoplasm;endocytosis;long-term synaptic depression,20.09.18.09.01,endocytosis,The PACSIN1-PICK1 complex is required for the activity-dependent internalization of AMPARs and for the expression of long-term depression in the cerebellum. The interaction between PICK1 and PACSIN1 is regulated by PACSIN1 phosphorylation.,PACSIN1;PICK1
PACSIN2-PICK1 complex,9463;11252,GO:0060292,long-term synaptic depression,,,PICK1 is a phosphorylation-regulated partner for PACSIN2 and that their interaction is required for cerebellar  long-term depression (LTD).,PICK1;PACSIN2
PACSIN3-PICK1 complex,9463;29763,,,,,"The expression of PACSIN3 is restricted to the muscle, heart, and lung.",PICK1;PACSIN3
KIF4A-KIF14-KIF20A-KIF23-PRC1 complex,9055;10112;24137;9493;9928,GO:0000910,cytokinesis,2003-03-10 00:00:00,cytokinesis (cell division) /septum formation and hydrolysis,,PRC1;KIF20A;KIF4A;KIF23;KIF14
CABLES1-TP53-TP73 complex,7161;7157;91768,GO:0008219;GO:0051726,cell death;regulation of cell cycle,40.10;10.03.01,cell death;mitotic cell cycle and cell cycle control,,TP73;TP53;CABLES1
PCID2-ENY2-GANP-SEM1-CETN2 complex,8888;1069;7979;55795;56943,GO:0051028,mRNA transport,,,,MCM3AP;CETN2;SEM1;PCID2;ENY2
PCID2-ENY2-GANP-SEM1-CETN3 complex,1070;8888;7979;55795;56943,GO:0051018,protein kinase A binding,,,,CETN3;MCM3AP;SEM1;PCID2;ENY2
MVB12B-PDCD6-PDCD6IP-TSG101-VPS28-VPS37A complex,10016;137492;10015;7251;89853;51160,GO:0015031,protein transport,2010-01-20 00:00:00,protein transport,,PDCD6;VPS37A;PDCD6IP;TSG101;MVB12B;VPS28
"INSR-IRS1-PIK3R1 complex, insulin induced",3643;5295;3667,GO:0008286;GO:0048015;GO:0032868,insulin receptor signaling pathway;phosphatidylinositol-mediated signaling;response to insulin,30.05.01.12.05,insulin receptor signalling pathway,,INSR;PIK3R1;IRS1
HHR23B-XPC complex,5887;7508,GO:0006289;GO:0006974,nucleotide-excision repair;cellular response to DNA damage stimulus,32.01.09,DNA damage response,,RAD23B;XPC
MVB12B-PDCD6-PDCD6IP-TSG101-VPS28-VPS37B complex,10016;10015;7251;89853;79720;51160,GO:0015031,protein transport,2010-01-20 00:00:00,protein transport,,PDCD6;PDCD6IP;TSG101;MVB12B;VPS37B;VPS28
MVB12B-PDCD6-PDCD6IP-TSG101-VPS28-VPS37C complex,55048;10016;10015;7251;89853;51160,GO:0015031,protein transport,2010-01-20 00:00:00,protein transport,,VPS37C;PDCD6;PDCD6IP;TSG101;MVB12B;VPS28
MVB12B-PDCD6-PDCD6IP-TSG101-VPS28-VPS37D complex,10016;155382;10015;7251;89853;51160,GO:0015031,protein transport,2010-01-20 00:00:00,protein transport,,PDCD6;VPS37D;PDCD6IP;TSG101;MVB12B;VPS28
"ZMYND10 complex, cytoplasmic",51364;3312;56683;23639;154865;161582;10856,GO:0070286;GO:0060271;GO:0044458,axonemal dynein complex assembly;cilium assembly;motile cilium assembly,,,,ZMYND10;HSPA8;CFAP298;DNAAF11;IQUB;DNAAF4;RUVBL2
GNB5-CCT5 complex,10681;22948,,,,,,GNB5;CCT5
GNB1-CCT5 complex,22948;2782,GO:0008277,regulation of G protein-coupled receptor signaling pathway,,,,CCT5;GNB1
PDCL-GNB5-CCT complex,10681;22948;5082,GO:1902605,heterotrimeric G-protein complex assembly,,,,GNB5;CCT5;PDCL
KIF17-RAB23-TNPO1 complex,3842;57576;51715,GO:0042073;GO:0060271,intraciliary transport;cilium assembly,,,,TNPO1;KIF17;RAB23
ACK1-GRB2-EGFR complex,1956;2885;10188,,,,,,EGFR;GRB2;TNK2
ACK1-GRB2-PPDGFR complex,5156;2885;10188,GO:0045859,regulation of protein kinase activity,,,,PDGFRA;GRB2;TNK2
ACK1-GBR2-AXL complex,558;2885;10188,GO:0045859,regulation of protein kinase activity,,,,AXL;GRB2;TNK2
ACK1-GRB2-ALK complex,2885;10188;238,GO:0045859,regulation of protein kinase activity,,,,GRB2;TNK2;ALK
ACK1-GRB2-LTK1 complex,4058;2885;10188,GO:0045859,regulation of protein kinase activity,,,,LTK;GRB2;TNK2
MIG6-GBR2-AXL complex,558;2885;54206,GO:0045859,regulation of protein kinase activity,,,,AXL;GRB2;ERRFI1
PPIH-PRPF3-PRPF4 complex,9128;9129;10465,GO:0000398,"mRNA splicing, via spliceosome",2003-04-11 00:00:00,"mRNA processing (splicing, 5'-, 3'-end processing)",,PRPF4;PRPF3;PPIH
PPIE-AQR-XAB2-ISY1-ZNF830 complex,9716;91603;56949;57461;10450,GO:0000398,"mRNA splicing, via spliceosome",2003-04-11 00:00:00,"mRNA processing (splicing, 5'-, 3'-end processing)","Nearly all Aquarius in HeLa nuclear extract was present in a pentameric complex, henceforth designated the intron-binding complex (IBC).",AQR;ZNF830;XAB2;ISY1;PPIE
PPIH-PRPF4 complex,9128;10465,GO:0000398,"mRNA splicing, via spliceosome",2003-04-11 00:00:00,"mRNA processing (splicing, 5'-, 3'-end processing)","USA-CyP forms separate, stable complexes with hPrp18 and hPrp4 in which the active site of the cyclophilin is exposed. (PMID:11823439)",PRPF4;PPIH
PPIH-PRPf18 complex,10465;8559,GO:0000398,"mRNA splicing, via spliceosome",2003-04-11 00:00:00,"mRNA processing (splicing, 5'-, 3'-end processing)",,PPIH;PRPF18
EIF2S1-NCK1-PPP1CA-PPP1R15B complex,1965;4690;5499;None,GO:0070262,peptidyl-serine dephosphorylation,,,"Nck is part a large molecular complex containing CReP, PP1c, and subunits of eIF2 that dephosphorylate eIF2 on Ser51. . Thiscomplex is required for proper control of eIF2 phosphorylationon Ser51, eIF2-dependent signaling, and an appropriate cellresponse to ER stress. Importantly, the amount of PP1c foundin this complex is dependent on the presence of Nck because it isgreatly reduced in MEFs deleted of Nck. Based on theseresults, it was proposed that Nck significantly contributes to the organization and/or stability of this CReP/PP1c-containing complex,regulating the amount of PP1c recruited in close proximity toeIF2 and in this manner regulates eIF2 dephosphorylation on Ser51(PMID:16835242)",EIF2S1;NCK1;PPP1CA;PPP1R15B
CETN2-RAD23B-XPC complex,1069;5887;7508,GO:0006289;GO:0005634,nucleotide-excision repair;nucleus,70.10,nucleus,"CETN2 interacts directly with XPC, and, in cooperation with RAD23B, stabilizes XPC, which stimulates XPC nucleotide excision repair activity in vitro.",CETN2;RAD23B;XPC
CETN2-RAD23A-XPC complex,1069;5886;7508,GO:0005634;GO:0006289,nucleus;nucleotide-excision repair,70.10,nucleus,"It is assumed that, in analogy to the CETN2-RAD23B-XPC complex, the CETN2-RAD23A-XPC complex in involved in nucleotide excision repair.",CETN2;RAD23A;XPC
DCTN1-OSBPL1A-RAB7A-RILP complex,7879;1639;83547;114876,GO:0005770;GO:0043231,late endosome;intracellular membrane-bounded organelle,,,"Under low cholesterol condi\u00adtions, ORP1L conformation induces the formation of endo\u00adplasmic reticulum (ER)\u2013late endosome (LE) membrane contact sites. At these sites, the ER protein VAMP can interact in trans with the Rab7\u2013RILP complex to remove DCTN1 and associated motors. LEs then move to the microtubule plus end.",RAB7A;DCTN1;RILP;OSBPL1A
DNAJB12-DNAJB14-HSPA8-SGTA complex,6449;3312;79982;54788,GO:0046718;GO:1903513;GO:0036503,viral entry into host cell;endoplasmic reticulum to cytosol transport;ERAD pathway,,,"Polyomaviruses, such as SV40, are mobilized out of the ER into the cytosol by binding to SGTA complexed to HSC70-B14-B12. Upon binding of the virus, SGTA and Hsc70 dissociate from the B14-B12 complex.",SGTA;HSPA8;DNAJB14;DNAJB12
